time x y z x_d y_d z_d error_x error_y error_z
0.081 0.306978 5.27513e-05 0.486723 0.306942 3.97515e-05 0.486778 3.60081e-05 1.29998e-05 -5.48645e-05
0.082 0.30698 5.1192e-05 0.486724 0.306942 3.97515e-05 0.486778 3.81379e-05 1.14405e-05 -5.42163e-05
0.083 0.30698 5.22292e-05 0.486723 0.306942 3.97515e-05 0.486778 3.82357e-05 1.24777e-05 -5.50917e-05
0.084 0.306981 5.21277e-05 0.486722 0.306942 3.97515e-05 0.486778 3.86136e-05 1.23762e-05 -5.60211e-05
0.085 0.306982 5.16937e-05 0.486721 0.306942 3.97515e-05 0.486778 3.98887e-05 1.19422e-05 -5.69498e-05
0.086 0.306981 5.23836e-05 0.486722 0.306942 3.97515e-05 0.486778 3.93983e-05 1.26322e-05 -5.58883e-05
0.087 0.306983 5.30044e-05 0.486717 0.306942 3.97515e-05 0.486778 4.08136e-05 1.32529e-05 -6.08054e-05
0.088 0.306984 5.14311e-05 0.486719 0.306942 3.97515e-05 0.486778 4.1823e-05 1.16796e-05 -5.88242e-05
0.089 0.306984 4.87736e-05 0.486719 0.306942 3.97515e-05 0.486778 4.22575e-05 9.02214e-06 -5.91123e-05
0.09 0.306985 4.98682e-05 0.486718 0.306942 3.97515e-05 0.486778 4.25377e-05 1.01167e-05 -5.98557e-05
0.091 0.306984 5.3908e-05 0.486717 0.306942 3.97515e-05 0.486778 4.2462e-05 1.41565e-05 -6.06064e-05
0.092 0.306986 5.22606e-05 0.486718 0.306942 3.97515e-05 0.486778 4.37054e-05 1.25091e-05 -6.03265e-05
0.093 0.306985 5.29512e-05 0.486717 0.306942 3.97515e-05 0.486778 4.31853e-05 1.31997e-05 -6.07551e-05
0.094 0.306987 5.40663e-05 0.486719 0.306942 3.97515e-05 0.486778 4.46145e-05 1.43148e-05 -5.90044e-05
0.095 0.306986 5.07628e-05 0.486717 0.306942 3.97515e-05 0.486778 4.34833e-05 1.10113e-05 -6.05327e-05
0.096 0.306987 5.13667e-05 0.486716 0.306942 3.97515e-05 0.486778 4.51586e-05 1.16152e-05 -6.18299e-05
0.097 0.306988 5.20751e-05 0.486716 0.306942 3.97515e-05 0.486778 4.61119e-05 1.23236e-05 -6.1521e-05
0.098 0.306988 5.19169e-05 0.486716 0.306942 3.97515e-05 0.486778 4.62897e-05 1.21654e-05 -6.22583e-05
0.099 0.306989 5.55624e-05 0.486717 0.306942 3.97515e-05 0.486778 4.67108e-05 1.58109e-05 -6.14226e-05
0.1 0.306989 5.23366e-05 0.486715 0.306942 3.97515e-05 0.486778 4.69532e-05 1.25851e-05 -6.3373e-05
0.101 0.30699 5.3777e-05 0.486713 0.306942 3.97515e-05 0.486778 4.78676e-05 1.40256e-05 -6.50132e-05
0.102 0.306989 5.1176e-05 0.486711 0.306942 3.97515e-05 0.486778 4.72124e-05 1.14246e-05 -6.65512e-05
0.103 0.306989 5.17328e-05 0.486712 0.306942 3.97515e-05 0.486778 4.66542e-05 1.19813e-05 -6.59846e-05
0.104 0.306989 5.33921e-05 0.48671 0.306942 3.97515e-05 0.486778 4.7032e-05 1.36406e-05 -6.81908e-05
0.105 0.30699 5.29728e-05 0.486706 0.306942 3.97515e-05 0.486778 4.81927e-05 1.32214e-05 -7.20159e-05
0.106 0.30699 5.35876e-05 0.486709 0.306942 3.97515e-05 0.486778 4.75875e-05 1.38361e-05 -6.9297e-05
0.107 0.306992 5.26656e-05 0.486707 0.306942 3.97515e-05 0.486778 4.97881e-05 1.29141e-05 -7.11523e-05
0.108 0.306991 5.17595e-05 0.486706 0.306942 3.97515e-05 0.486778 4.85155e-05 1.2008e-05 -7.17197e-05
0.109 0.306992 5.05025e-05 0.486707 0.306942 3.97515e-05 0.486778 5.02161e-05 1.0751e-05 -7.09042e-05
0.11 0.306993 5.40012e-05 0.486701 0.306942 3.97515e-05 0.486778 5.13994e-05 1.42497e-05 -7.67831e-05
0.111 0.306994 5.22751e-05 0.486704 0.306942 3.97515e-05 0.486778 5.20275e-05 1.25236e-05 -7.4338e-05
0.112 0.306995 5.27615e-05 0.486705 0.306942 3.97515e-05 0.486778 5.26787e-05 1.301e-05 -7.34403e-05
0.113 0.306993 5.39624e-05 0.486701 0.306942 3.97515e-05 0.486778 5.14001e-05 1.42109e-05 -7.74351e-05
0.114 0.306995 5.13808e-05 0.486701 0.306942 3.97515e-05 0.486778 5.27769e-05 1.16293e-05 -7.69512e-05
0.115 0.306994 5.40592e-05 0.486701 0.306942 3.97515e-05 0.486778 5.22115e-05 1.43077e-05 -7.70403e-05
0.116 0.306995 5.42813e-05 0.486702 0.306942 3.97515e-05 0.486778 5.30502e-05 1.45298e-05 -7.63642e-05
0.117 0.306995 5.4498e-05 0.4867 0.306942 3.97515e-05 0.486778 5.26688e-05 1.47466e-05 -7.83617e-05
0.118 0.306996 5.26994e-05 0.486696 0.306942 3.97515e-05 0.486778 5.44158e-05 1.29479e-05 -8.16812e-05
0.119 0.306997 5.30408e-05 0.4867 0.306942 3.97515e-05 0.486778 5.54031e-05 1.32894e-05 -7.75793e-05
0.12 0.306999 5.39952e-05 0.486699 0.306942 3.97515e-05 0.486778 5.66287e-05 1.42437e-05 -7.85972e-05
0.121 0.306997 5.2608e-05 0.4867 0.306942 3.97515e-05 0.486778 5.52702e-05 1.28565e-05 -7.84495e-05
0.122 0.306998 5.15602e-05 0.4867 0.306942 3.97515e-05 0.486778 5.55504e-05 1.18087e-05 -7.83991e-05
0.123 0.306998 5.25353e-05 0.486702 0.306942 3.97515e-05 0.486778 5.59652e-05 1.27838e-05 -7.60357e-05
0.124 0.306999 5.32416e-05 0.486702 0.306942 3.97515e-05 0.486778 5.68332e-05 1.34901e-05 -7.59898e-05
0.125 0.307 5.34061e-05 0.486703 0.306942 3.97515e-05 0.486778 5.76646e-05 1.36546e-05 -7.5423e-05
0.126 0.307 5.32473e-05 0.486704 0.306942 3.97515e-05 0.486778 5.7479e-05 1.34958e-05 -7.43989e-05
0.127 0.307 5.1044e-05 0.486704 0.306942 3.97515e-05 0.486778 5.79524e-05 1.12925e-05 -7.41784e-05
0.128 0.307 5.34093e-05 0.4867 0.306942 3.97515e-05 0.486778 5.84395e-05 1.36578e-05 -7.76585e-05
0.129 0.307 5.38218e-05 0.486699 0.306942 3.97515e-05 0.486778 5.82793e-05 1.40703e-05 -7.85508e-05
