O_T_EE_00 O_T_EE_01 O_T_EE_02 O_T_EE_03 O_T_EE_04 O_T_EE_05 O_T_EE_06 O_T_EE_07 O_T_EE_08 O_T_EE_09 O_T_EE_10 O_T_EE_11 O_T_EE_12 O_T_EE_13 O_T_EE_14 O_T_EE_15 F_FL_x F_FL_y F_FL_z F_FL_rx F_FL_ry F_FL_rz F_CLBF_x F_CLBF_y F_CLBF_z F_CLBF_rx F_CLBF_ry F_CLBF_rz pos_des_x pos_des_y pos_des_z vel_des_x vel_des_y vel_des_z acc_des_x acc_des_y acc_des_z
0.999803 -0.013549 -0.0138346 0 -0.0132667 -0.999696 0.0202964 0 -0.0141056 -0.0201092 -0.999698 0 0.309323 -0.00357387 0.483312 1 -0.00711916 0.000466994 0.00100001 -9.04914e-05 -0.00148747 3.93249e-05 0.00283444 -7.2227e-05 0.0135333 0.000228805 0.00113956 -2.60883e-05 0.309328 -0.003573 0.483326 3.95235e-06 0 -3.95235e-06 0.000375622 0 -0.000375622 
0.999803 -0.0135496 -0.0138327 0 -0.0132673 -0.999696 0.0203 0 -0.0141039 -0.0201128 -0.999698 0 0.309322 -0.00357347 0.483312 1 0.000270681 -0.0015746 0.00130813 0.000305206 8.10133e-05 -2.39433e-06 0.00147716 -3.76345e-05 0.00705271 0.000119242 0.000593874 -1.35977e-05 0.309328 -0.003573 0.483326 4.33685e-06 0 -4.33685e-06 0.00039339 0 -0.00039339 
0.999803 -0.0135364 -0.0138335 0 -0.0132542 -0.999697 0.0202941 0 -0.0141043 -0.0201071 -0.999698 0 0.309323 -0.0035727 0.483312 1 -0.00226367 0.000203557 0.00108106 -1.97333e-05 -0.000461433 -1.1004e-05 0.00174984 -4.4588e-05 0.00835475 0.000141249 0.000703506 -1.61039e-05 0.309328 -0.003573 0.483326 4.73912e-06 0 -4.73912e-06 0.000411148 0 -0.000411148 
0.999803 -0.0135531 -0.0138344 0 -0.0132709 -0.999696 0.0202912 0 -0.0141055 -0.020104 -0.999698 0 0.309322 -0.00357371 0.483311 1 -0.00297481 0.00204651 0.000484347 -0.000389568 -0.000632669 3.91715e-05 0.00128246 -3.2688e-05 0.00612322 0.000103522 0.0005156 -1.18011e-05 0.309328 -0.003573 0.483326 5.15915e-06 0 -5.15915e-06 0.000428895 0 -0.000428895 
0.999803 -0.0135484 -0.0138364 0 -0.0132662 -0.999696 0.0202941 0 -0.0141074 -0.020107 -0.999698 0 0.309322 -0.00357499 0.483312 1 -0.00385223 0.00234801 -0.000713261 -0.000446152 -0.000885493 3.12963e-05 -7.22205e-05 1.84062e-06 -0.00034482 -5.8298e-06 -2.90353e-05 6.6466e-07 0.309328 -0.003573 0.483326 5.59691e-06 0 -5.59691e-06 0.000446631 0 -0.000446631 
0.999803 -0.0135493 -0.0138392 0 -0.0132669 -0.999696 0.0202972 0 -0.0141103 -0.0201099 -0.999698 0 0.30932 -0.00357253 0.483312 1 -0.000389924 -0.00153635 0.000351027 0.000280499 -0.000101037 -2.56314e-07 0.000307597 -7.83737e-06 0.00146863 2.48299e-05 0.000123664 -2.8313e-06 0.309328 -0.003573 0.483326 6.0524e-06 0 -6.0524e-06 0.000464356 0 -0.000464356 
0.999803 -0.0135436 -0.0138427 0 -0.0132612 -0.999696 0.0202968 0 -0.0141137 -0.0201096 -0.999698 0 0.309321 -0.00357284 0.483312 1 -0.00400357 -0.00607245 -0.000187097 0.00109926 -0.000882393 -3.81301e-05 4.77727e-05 -1.21713e-06 0.000228093 3.85629e-06 1.92062e-05 -4.39733e-07 0.309328 -0.003573 0.483326 6.52562e-06 0 -6.52562e-06 0.00048207 0 -0.00048207 
0.999803 -0.0135471 -0.0138512 0 -0.0132644 -0.999696 0.0202998 0 -0.0141223 -0.0201124 -0.999698 0 0.309322 -0.00357303 0.483308 1 -0.016684 -0.00551374 0.000515359 0.000981033 -0.00353325 2.95681e-05 0.00391428 -9.97253e-05 0.0186898 0.000315993 0.00157367 -3.60373e-05 0.309328 -0.003573 0.483326 7.01654e-06 0 -7.01654e-06 0.000499774 0 -0.000499774 
0.999803 -0.0135455 -0.0138424 0 -0.013263 -0.999696 0.0202962 0 -0.0141134 -0.020109 -0.999698 0 0.309321 -0.00357123 0.483311 1 -0.00120797 -0.00335799 -0.000157718 0.000581941 -0.000276586 -1.13521e-05 -0.000383272 9.76379e-06 -0.00182997 -3.0938e-05 -0.000154089 3.52781e-06 0.309328 -0.003573 0.483326 7.52516e-06 0 -7.52516e-06 0.000517467 0 -0.000517467 
0.999803 -0.0135462 -0.0138426 0 -0.0132637 -0.999696 0.0202992 0 -0.0141136 -0.020112 -0.999698 0 0.309323 -0.00357333 0.483311 1 -0.00127026 -0.00226165 -0.000198288 0.000428535 -0.000254673 -1.40789e-05 -0.000886649 2.25898e-05 -0.00423346 -7.15755e-05 -0.000356466 8.1623e-06 0.309328 -0.003573 0.483326 8.05147e-06 0 -8.05147e-06 0.00053515 0 -0.00053515 
0.999803 -0.0135396 -0.0138398 0 -0.0132571 -0.999696 0.0202982 0 -0.0141107 -0.0201111 -0.999698 0 0.309323 -0.00357141 0.483313 1 0.00681086 -0.00275173 -0.000588352 0.000513121 0.0014803 -4.8677e-05 -0.00353109 8.99475e-05 -0.0168595 -0.000285036 -0.00141963 3.25041e-05 0.309328 -0.003573 0.483326 8.59546e-06 0 -8.59546e-06 0.000552821 0 -0.000552821 
0.999803 -0.0135481 -0.0138454 0 -0.0132656 -0.999696 0.0202993 0 -0.0141165 -0.0201121 -0.999698 0 0.309322 -0.0035724 0.483309 1 -0.00295467 -0.00158474 0.00142773 0.000299103 -0.000596734 1.05595e-05 0.00230418 -5.86975e-05 0.0110018 0.000186006 0.000926366 -2.12124e-05 0.309328 -0.003573 0.483325 9.15711e-06 0 -9.15711e-06 0.000570482 0 -0.000570482 
0.999803 -0.013536 -0.0138415 0 -0.0132535 -0.999696 0.0202981 0 -0.0141123 -0.0201111 -0.999698 0 0.309323 -0.00357206 0.48331 1 0.00470842 -0.0015417 0.00127746 0.00031921 0.00106438 -4.63674e-05 -0.000119774 3.05126e-06 -0.000571889 -9.66873e-06 -4.8154e-05 1.10256e-06 0.309328 -0.003573 0.483325 9.73642e-06 0 -9.73642e-06 0.000588132 0 -0.000588132 
0.999803 -0.0135386 -0.0138454 0 -0.0132561 -0.999696 0.0202964 0 -0.0141162 -0.0201093 -0.999698 0 0.309323 -0.00357245 0.483308 1 -0.00892969 0.000596659 0.000979857 -0.000115127 -0.00187329 3.02176e-05 0.00310078 -7.89978e-05 0.0148057 0.000250312 0.00124664 -2.85426e-05 0.309328 -0.003573 0.483325 1.03334e-05 0 -1.03334e-05 0.000605772 0 -0.000605772 
0.999803 -0.0135395 -0.0138439 0 -0.013257 -0.999696 0.0202974 0 -0.0141148 -0.0201103 -0.999698 0 0.309323 -0.00357329 0.483309 1 -0.00221326 0.000496134 0.00140791 -5.98439e-05 -0.000392541 6.20659e-06 0.00172378 -4.39186e-05 0.00823068 0.000139154 0.000693028 -1.58678e-05 0.309328 -0.003573 0.483325 1.0948e-05 0 -1.0948e-05 0.0006234 0 -0.0006234 
0.999803 -0.0135476 -0.0138453 0 -0.013265 -0.999696 0.020299 0 -0.0141164 -0.0201117 -0.999698 0 0.309324 -0.00357204 0.483308 1 -0.000866375 -0.00131017 0.000445078 0.000236026 -0.000143003 1.23848e-05 1.67693e-05 -4.27215e-07 8.00709e-05 1.35375e-06 6.74196e-06 -1.54378e-07 0.309328 -0.003573 0.483325 1.15802e-05 0 -1.15802e-05 0.000641018 0 -0.000641018 
0.999803 -0.013538 -0.0138489 0 -0.0132554 -0.999696 0.0202974 0 -0.0141198 -0.0201102 -0.999698 0 0.309324 -0.00357324 0.483307 1 -0.00532691 0.00077658 0.000234862 -0.000136923 -0.00112264 1.40661e-05 0.00096597 -2.46109e-05 0.00461245 7.79813e-05 0.000388361 -8.89242e-06 0.309328 -0.003573 0.483325 1.223e-05 0 -1.223e-05 0.000658626 0 -0.000658626 
0.999803 -0.0135419 -0.0138441 0 -0.0132594 -0.999696 0.0202992 0 -0.014115 -0.020112 -0.999698 0 0.309323 -0.00357305 0.48331 1 0.00672982 -0.00117096 -0.000147506 0.000231501 0.00143397 -3.39927e-05 -0.0025099 6.39441e-05 -0.0119841 -0.000202615 -0.00100908 2.3106e-05 0.309328 -0.003573 0.483325 1.28974e-05 0 -1.28974e-05 0.000676222 0 -0.000676222 
0.999803 -0.0135412 -0.0138464 0 -0.0132587 -0.999697 0.0202923 0 -0.0141173 -0.0201051 -0.999698 0 0.309325 -0.00356992 0.483309 1 -0.00444748 -0.000311254 -0.000372881 1.0079e-05 -0.000966423 2.09975e-05 0.000173629 -4.42309e-06 0.00082905 1.40154e-05 6.98059e-05 -1.59796e-06 0.309328 -0.003573 0.483325 1.35824e-05 0 -1.35824e-05 0.000693808 0 -0.000693808 
0.999803 -0.0135389 -0.0138475 0 -0.0132564 -0.999696 0.0202961 0 -0.0141183 -0.0201089 -0.999698 0 0.309323 -0.00357181 0.483309 1 0.00168824 1.5251e-05 0.000384305 5.70987e-06 0.000343752 -1.135e-05 -0.000157734 4.01853e-06 -0.000753141 -1.27329e-05 -6.34149e-05 1.45192e-06 0.309328 -0.003573 0.483325 1.4285e-05 0 -1.4285e-05 0.000711383 0 -0.000711383 
0.999803 -0.0135383 -0.0138499 0 -0.0132556 -0.999696 0.0202996 0 -0.0141208 -0.0201124 -0.999698 0 0.309323 -0.00357034 0.483308 1 -0.00576466 -0.00284314 0.000835021 0.000509512 -0.00122454 2.25862e-06 0.00209151 -5.32688e-05 0.00998667 0.000168839 0.000840867 -1.92556e-05 0.309328 -0.003573 0.483325 1.50052e-05 0 -1.50052e-05 0.000728947 0 -0.000728947 
0.999803 -0.0135448 -0.0138492 0 -0.0132622 -0.999696 0.0202974 0 -0.0141202 -0.0201101 -0.999698 0 0.309323 -0.00357244 0.483309 1 0.00236115 0.000500333 -0.000208084 -9.16612e-05 0.00050388 -3.15823e-07 -0.00146209 3.72467e-05 -0.00698118 -0.000118027 -0.000587813 1.34593e-05 0.309328 -0.003573 0.483325 1.57429e-05 0 -1.57429e-05 0.000746501 0 -0.000746501 
0.999803 -0.0135465 -0.0138523 0 -0.0132638 -0.999696 0.020298 0 -0.0141234 -0.0201107 -0.999698 0 0.309323 -0.00357182 0.483308 1 -0.00288381 0.00137302 0.000125194 -0.00026559 -0.000630882 3.04376e-05 0.000604197 -1.53911e-05 0.00288494 4.87742e-05 0.000242909 -5.56224e-06 0.309328 -0.003573 0.483325 1.64982e-05 0 -1.64982e-05 0.000764044 0 -0.000764044 
0.999803 -0.013537 -0.013842 0 -0.0132545 -0.999697 0.0202969 0 -0.0141128 -0.0201098 -0.999698 0 0.309324 -0.00357188 0.48331 1 0.00629338 0.000100539 0.000568741 1.2639e-05 0.00139159 -3.69764e-05 -0.00152817 3.89304e-05 -0.00729667 -0.00012336 -0.000614389 1.40667e-05 0.309328 -0.003573 0.483325 1.7271e-05 0 -1.7271e-05 0.000781576 0 -0.000781576 
0.999803 -0.0135439 -0.0138447 0 -0.0132615 -0.999696 0.0202956 0 -0.0141156 -0.0201084 -0.999698 0 0.309324 -0.00357285 0.483308 1 0.00216379 0.00108539 0.00105006 -0.000179065 0.000513541 -1.49492e-06 0.000341183 -8.69323e-06 0.0016291 2.75424e-05 0.00013717 -3.14046e-06 0.309328 -0.003573 0.483325 1.80613e-05 0 -1.80613e-05 0.000799098 0 -0.000799098 
0.999803 -0.013552 -0.0138459 0 -0.0132694 -0.999696 0.0202986 0 -0.014117 -0.0201112 -0.999698 0 0.309325 -0.00357457 0.483309 1 -0.000130577 0.000967621 0.000406562 -0.000149938 2.98547e-05 2.11726e-05 -0.00031622 8.05758e-06 -0.0015099 -2.55282e-05 -0.000127133 2.91108e-06 0.309328 -0.003573 0.483325 1.88692e-05 0 -1.88692e-05 0.000816609 0 -0.000816609 
0.999803 -0.0135343 -0.0138406 0 -0.0132519 -0.999696 0.0202998 0 -0.0141114 -0.0201128 -0.999698 0 0.309325 -0.00357133 0.48331 1 0.00512715 -0.00289442 0.000650489 0.00056022 0.00113287 -5.51924e-05 -0.0011995 3.05547e-05 -0.00572736 -9.68313e-05 -0.000482252 1.10427e-05 0.309328 -0.003573 0.483325 1.96946e-05 0 -1.96946e-05 0.000834109 0 -0.000834109 
