O_T_EE_00 O_T_EE_01 O_T_EE_02 O_T_EE_03 O_T_EE_04 O_T_EE_05 O_T_EE_06 O_T_EE_07 O_T_EE_08 O_T_EE_09 O_T_EE_10 O_T_EE_11 O_T_EE_12 O_T_EE_13 O_T_EE_14 O_T_EE_15 F_FL_x F_FL_y F_FL_z F_FL_rx F_FL_ry F_FL_rz F_CLBF_x F_CLBF_y F_CLBF_z F_CLBF_rx F_CLBF_ry F_CLBF_rz pos_des_x pos_des_y pos_des_z vel_des_x vel_des_y vel_des_z acc_des_x acc_des_y acc_des_z pos_x pos_y pos_z error_x error_y error_z error_rx error_ry error_rz vel_x vel_y vel_z bodyRPY_R bodyRPY_P bodyRPY_Y bodyRPY_des_R bodyRPY_des_P bodyRPY_des_Y F_FL_ana_x F_FL_ana_y F_FL_ana_z F_FL_ana_rx F_FL_ana_ry F_FL_ana_rz
0.99999 -8.51984e-05 -8.44618e-05 0 -8.5171e-05 -0.99999 0.000323823 0 -8.44902e-05 -0.000323818 -1 0 0.306991 -2.06781e-05 0.486837 1 0.00982916 0.0406922 -0.0296132 -0.00685225 0.00114641 7.61159e-05 -0.00202069 6.35767e-05 -0.00903942 -0.000121288 -0.000811563 2.72644e-07 0.306987 -1.33359e-05 0.486853 3.58561e-06 0 -3.58561e-06 0.000357843 0 -0.000357843 0.306991 -2.06781e-05 0.486837 4.35167e-06 -7.34227e-06 -1.5576e-05 -1.1083e-05 6.24814e-06 -5.57894e-06 3.65024e-05 -0.00101213 0.000548451 3.14127 -8.4491e-05 8.51719e-05 3.14129 -7.1991e-05 7.40178e-05 0.00928269 0.0403813 -0.0296968 -0.00679543 -0.00102795 -7.54332e-05 
0.99999 -7.83974e-05 -9.01891e-05 0 -7.83676e-05 -0.99999 0.000331304 0 -9.02159e-05 -0.0003313 -1 0 0.306993 -1.87627e-05 0.486833 1 -0.0405771 -0.0264504 0.0408744 0.00551298 -0.00638776 -8.96962e-05 0.00208576 -6.56082e-05 0.009331 0.000125208 0.000837708 -2.88396e-07 0.306987 -1.33359e-05 0.486853 3.95235e-06 0 -3.95235e-06 0.000375622 0 -0.000375622 0.306993 -1.87627e-05 0.486833 5.66507e-06 -5.42686e-06 -1.98906e-05 -1.48233e-05 9.11205e-06 -2.17811e-06 0.000174775 1.48511e-05 -0.000573952 3.14126 -9.02168e-05 7.83683e-05 3.14129 -7.1991e-05 7.40178e-05 -0.0413758 -0.0268652 0.0407488 0.00558891 0.00656154 9.26072e-05 
0.99999 -8.9869e-05 -9.17013e-05 0 -8.98387e-05 -0.99999 0.000330181 0 -9.17319e-05 -0.000330176 -1 0 0.306993 -2.20398e-05 0.486832 1 -0.0284881 0.0548755 0.0265625 -0.00887911 -0.0047559 8.70466e-05 0.00135634 -4.2673e-05 0.00606783 8.14233e-05 0.000544747 -1.87049e-07 0.306987 -1.33359e-05 0.486853 4.33685e-06 0 -4.33685e-06 0.00039339 0 -0.00039339 0.306993 -2.20398e-05 0.486832 5.73333e-06 -8.70397e-06 -2.0431e-05 -1.42619e-05 9.86818e-06 -7.91396e-06 5.24989e-05 -0.00108352 -0.00037518 3.14126 -9.17327e-05 8.98396e-05 3.14129 -7.1991e-05 7.40178e-05 -0.0293563 0.0544778 0.0264215 -0.00880723 0.00494512 -8.40627e-05 
0.99999 -8.38282e-05 -8.72622e-05 0 -8.37993e-05 -0.99999 0.00033089 0 -8.72908e-05 -0.000330886 -1 0 0.306993 -2.11798e-05 0.486834 1 0.0217672 0.0148216 0.00947675 -0.0012333 0.00523497 -0.000159854 -0.000145918 4.59039e-06 -0.000652782 -8.75949e-06 -5.86054e-05 2.01265e-08 0.306987 -1.33359e-05 0.486853 4.73912e-06 0 -4.73912e-06 0.000411148 0 -0.000411148 0.306993 -2.11798e-05 0.486834 5.71056e-06 -7.84392e-06 -1.88307e-05 -1.46168e-05 7.64864e-06 -4.89354e-06 -8.25218e-05 -0.00112774 3.67622e-05 3.14126 -8.72916e-05 8.38001e-05 3.14129 -7.1991e-05 7.40178e-05 0.0211 0.0144107 0.00937719 -0.00115778 -0.00509064 0.000159124 
0.99999 -7.71755e-05 -8.48264e-05 0 -7.71469e-05 -0.99999 0.000338026 0 -8.48533e-05 -0.000338023 -1 0 0.306994 -1.99423e-05 0.486834 1 0.0155564 -0.0260814 -0.0204894 0.00533019 0.00298261 -0.000196425 -0.00179482 5.64451e-05 -0.00802939 -0.000107749 -0.000720863 2.52444e-07 0.306987 -1.33359e-05 0.486853 5.15915e-06 0 -5.15915e-06 0.000428895 0 -0.000428895 0.306994 -1.99423e-05 0.486834 6.9129e-06 -6.60645e-06 -1.8578e-05 -1.81848e-05 6.43093e-06 -1.56693e-06 7.19804e-05 -0.000360155 0.000485226 3.14125 -8.48541e-05 7.71476e-05 3.14129 -7.1991e-05 7.40178e-05 0.0150049 -0.0265968 -0.020557 0.0054265 -0.00286501 0.000196486 
0.99999 -7.20767e-05 -9.03444e-05 0 -7.20459e-05 -0.99999 0.000341444 0 -9.03699e-05 -0.00034144 -1 0 0.306994 -1.93091e-05 0.486833 1 0.0159582 -0.0231789 -0.00808113 0.00476441 0.00296604 -0.000207712 -0.000916612 2.88225e-05 -0.00410065 -5.50291e-05 -0.000368142 1.30478e-07 0.306987 -1.33359e-05 0.486853 5.59691e-06 0 -5.59691e-06 0.000446631 0 -0.000446631 0.306994 -1.93091e-05 0.486833 6.83632e-06 -5.97323e-06 -1.98732e-05 -1.98934e-05 9.19002e-06 9.8268e-07 -0.0001742 -0.000293205 0.000245016 3.14125 -9.03707e-05 7.20466e-05 3.14129 -7.1991e-05 7.40178e-05 0.0151607 -0.0237396 -0.00819436 0.00486859 -0.0027939 0.00020834 
0.99999 -8.46764e-05 -8.86342e-05 0 -8.46458e-05 -0.99999 0.000345087 0 -8.86643e-05 -0.000345083 -1 0 0.306996 -2.25247e-05 0.486833 1 -0.0760387 0.0290948 -0.00609217 -0.00450719 -0.0157062 -7.01969e-06 -0.000120808 3.79929e-06 -0.000540466 -7.25342e-06 -4.85209e-05 1.73614e-08 0.306987 -1.33359e-05 0.486853 6.0524e-06 0 -6.0524e-06 0.000464356 0 -0.000464356 0.306996 -2.25247e-05 0.486833 9.10285e-06 -9.18887e-06 -1.93914e-05 -2.17152e-05 8.33521e-06 -5.31707e-06 0.000266588 -0.000942766 2.90447e-05 3.14125 -8.86652e-05 8.46466e-05 3.14129 -7.1991e-05 7.40178e-05 -0.0767567 0.0284803 -0.00618489 -0.00439288 0.0158598 1.42746e-05 
0.99999 -8.83914e-05 -8.67664e-05 0 -8.83615e-05 -0.99999 0.000344299 0 -8.67977e-05 -0.000344295 -1 0 0.306997 -2.46789e-05 0.486833 1 -0.0138905 0.0398447 0.0051957 -0.00652018 -0.00242395 4.9769e-05 1.6372e-05 -5.14963e-07 7.32449e-05 9.83014e-07 6.57563e-06 -2.34586e-09 0.306987 -1.33359e-05 0.486853 6.52562e-06 0 -6.52562e-06 0.00048207 0 -0.00048207 0.306997 -2.46789e-05 0.486833 9.52774e-06 -1.1343e-05 -1.98691e-05 -2.13212e-05 7.40131e-06 -7.17464e-06 8.84259e-05 -0.000804874 -1.48311e-05 3.14125 -8.67985e-05 8.83624e-05 3.14129 -7.1991e-05 7.40178e-05 -0.014525 0.0392402 0.0051189 -0.0064076 0.00255895 -4.72228e-05 
0.99999 -7.935e-05 -8.45626e-05 0 -7.93203e-05 -0.99999 0.000350726 0 -8.45912e-05 -0.000350723 -1 0 0.306998 -2.25836e-05 0.486833 1 -0.157082 -0.0263472 0.0248562 0.00487159 -0.0312288 -9.22002e-05 0.00221933 -6.97801e-05 0.00992883 0.000133256 0.000891373 -3.23433e-07 0.306987 -1.33359e-05 0.486853 7.01654e-06 0 -7.01654e-06 0.000499774 0 -0.000499774 0.306998 -2.25836e-05 0.486833 1.08419e-05 -9.24774e-06 -1.92746e-05 -2.45348e-05 6.29953e-06 -2.65366e-06 0.000577169 0.000318492 -0.0006135 3.14124 -8.4592e-05 7.93211e-05 3.14129 -7.1991e-05 7.40178e-05 -0.157612 -0.0270457 0.0248083 0.00500303 0.0313397 0.000104632 
0.99999 -8.4622e-05 -8.81923e-05 0 -8.45908e-05 -0.99999 0.000353568 0 -8.8223e-05 -0.000353564 -1 0 0.306999 -2.32727e-05 0.486832 1 -0.16142 -0.00884133 0.0358551 0.00194291 -0.0318688 -1.87063e-05 0.00290893 -9.14662e-05 0.0130142 0.000174675 0.00116835 -4.27875e-07 0.306987 -1.33359e-05 0.486853 7.52516e-06 0 -7.52516e-06 0.000517467 0 -0.000517467 0.306999 -2.32727e-05 0.486832 1.14393e-05 -9.93683e-06 -2.0386e-05 -2.59558e-05 8.11455e-06 -5.28953e-06 0.000491562 2.24351e-05 -0.000802374 3.14124 -8.82239e-05 8.45916e-05 3.14129 -7.1991e-05 7.40178e-05 -0.162112 -0.0095784 0.0357779 0.00208082 0.0320152 3.15685e-05 
