O_T_EE_00 O_T_EE_01 O_T_EE_02 O_T_EE_03 O_T_EE_04 O_T_EE_05 O_T_EE_06 O_T_EE_07 O_T_EE_08 O_T_EE_09 O_T_EE_10 O_T_EE_11 O_T_EE_12 O_T_EE_13 O_T_EE_14 O_T_EE_15 F_FL_x F_FL_y F_FL_z F_FL_rx F_FL_ry F_FL_rz F_CLBF_x F_CLBF_y F_CLBF_z F_CLBF_rx F_CLBF_ry F_CLBF_rz pos_des_x pos_des_y pos_des_z vel_des_x vel_des_y vel_des_z acc_des_x acc_des_y acc_des_z pos_x pos_y pos_z error_x error_y error_z error_rx error_ry error_rz vel_x vel_y vel_z bodyRPY_Y bodyRPY_P bodyRPY_R bodyRPY_des_Y bodyRPY_des_P bodyRPY_des_R F_FL_x F_FL_y F_FL_z F_FL_rx F_FL_ry F_FL_rz
0.99999 -0.000186949 4.9496e-05 0 -0.000186963 -0.99999 0.000281736 0 4.94438e-05 -0.000281748 -1 0 0.306859 -4.24857e-05 0.48692 1 -0.00963904 0.0359163 0.0103871 -0.00589519 -0.00147943 -3.68739e-05 0.000464115 -1.4631e-05 0.00207222 2.78058e-05 0.00018629 -5.10857e-08 0.306848 -4.39117e-05 0.486929 3.58561e-06 0 -3.58561e-06 0.000357843 0 -0.000357843 0.306859 -4.24857e-05 0.48692 1.02892e-05 1.42604e-06 -9.61344e-06 -1.28409e-05 1.75836e-05 9.51699e-06 4.29775e-05 -0.00064793 -0.000130294 3.14131 4.94443e-05 0.000186965 3.14134 8.4607e-05 0.000206008 -0.0100303 0.0358298 0.0103157 -0.00588009 0.00156594 3.77163e-05 
0.99999 -0.000199729 3.55009e-05 0 -0.000199739 -0.99999 0.000281423 0 3.5445e-05 -0.000281433 -1 0 0.306859 -4.43452e-05 0.486915 1 -0.0408085 0.101216 0.0741762 -0.0160031 -0.00546088 -2.37825e-05 0.00410814 -0.000129528 0.0183433 0.000246144 0.00164895 -4.55058e-07 0.306848 -4.39117e-05 0.486929 3.95235e-06 0 -3.95235e-06 0.000375622 0 -0.000375622 0.306859 -4.43452e-05 0.486915 1.02643e-05 -4.33528e-07 -1.42116e-05 -1.26828e-05 2.45812e-05 3.1271e-06 2.0119e-05 -0.00201712 -0.00112385 3.14131 3.54453e-05 0.000199741 3.14134 8.4607e-05 0.000206008 -0.0413577 0.101133 0.0740727 -0.0159895 0.00558259 2.53486e-05 
0.99999 -0.000202737 4.28608e-05 0 -0.000202749 -0.99999 0.000285816 0 4.28033e-05 -0.000285827 -1 0 0.306858 -4.4376e-05 0.486916 1 0.0257334 0.0580007 0.069208 -0.00871535 0.00816222 2.1161e-07 0.00330904 -0.000104315 0.014775 0.000198268 0.00132821 -3.70939e-07 0.306848 -4.39117e-05 0.486929 4.33685e-06 0 -4.33685e-06 0.00039339 0 -0.00039339 0.306858 -4.4376e-05 0.486916 9.62125e-06 -4.64261e-07 -1.35513e-05 -1.48798e-05 2.09017e-05 1.62283e-06 -0.000179752 -0.00125286 -0.000906426 3.14131 4.28037e-05 0.000202751 3.14134 8.4607e-05 0.000206008 0.025268 0.0579007 0.0691228 -0.00869812 -0.00805939 -2.35992e-06 
0.99999 -0.000189606 4.17605e-05 0 -0.000189618 -0.99999 0.000287697 0 4.17064e-05 -0.000287707 -1 0 0.306857 -4.35693e-05 0.486917 1 0.0474153 0.0207529 0.00720061 -0.00310185 0.0099415 -8.20854e-05 -0.000130303 4.1072e-06 -0.000581796 -7.80726e-06 -5.23015e-05 1.47133e-08 0.306848 -4.39117e-05 0.486929 4.73912e-06 0 -4.73912e-06 0.000411148 0 -0.000411148 0.306857 -4.35693e-05 0.486917 8.18168e-06 3.42404e-07 -1.25254e-05 -1.58204e-05 2.14519e-05 8.18842e-06 -0.000281895 -0.00058292 3.1585e-05 3.1413 4.17068e-05 0.00018962 3.14134 8.4607e-05 0.000206008 0.046938 0.0206463 0.00711356 -0.00308328 -0.00983602 7.98722e-05 
0.99999 -0.000200584 4.10187e-05 0 -0.000200595 -0.99999 0.000286565 0 4.09616e-05 -0.000286576 -1 0 0.306857 -4.51923e-05 0.486916 1 1.72967e-05 0.0926217 0.0188821 -0.0153493 0.000744051 3.22673e-05 0.000831544 -2.62151e-05 0.00371285 4.98245e-05 0.000333769 -9.35543e-08 0.306848 -4.39117e-05 0.486929 5.15915e-06 0 -5.15915e-06 0.000428895 0 -0.000428895 0.306857 -4.51923e-05 0.486916 8.91235e-06 -1.28061e-06 -1.33007e-05 -1.52543e-05 2.18228e-05 2.69953e-06 -6.13417e-05 -0.00170774 -0.000232062 3.14131 4.0962e-05 0.000200597 3.14134 8.4607e-05 0.000206008 -0.000468693 0.0925193 0.018793 -0.0153317 -0.000636625 -3.25028e-05 
0.99999 -0.00019531 4.96694e-05 0 -0.000195325 -0.99999 0.000291351 0 4.9613e-05 -0.000291364 -1 0 0.306858 -4.43594e-05 0.48692 1 0.104914 0.0296921 -0.0489363 -0.00549231 0.0182618 -3.6469e-05 -0.00309739 9.76246e-05 -0.0138293 -0.000185587 -0.00124325 3.52844e-07 0.306848 -4.39117e-05 0.486929 5.59691e-06 0 -5.59691e-06 0.000446631 0 -0.000446631 0.306858 -4.43594e-05 0.48692 9.16398e-06 -4.47673e-07 -9.04762e-06 -1.76483e-05 1.74979e-05 5.336e-06 -0.00101379 -0.000683171 0.000838821 3.1413 4.96135e-05 0.000195327 3.14134 8.4607e-05 0.000206008 0.104526 0.029571 -0.049004 -0.00547063 -0.0181765 3.15634e-05 
0.99999 -0.000198009 4.31888e-05 0 -0.000198022 -0.99999 0.000293253 0 4.31312e-05 -0.000293264 -1 0 0.306858 -4.70245e-05 0.486917 1 0.123571 0.0651773 -0.0271766 -0.0113987 0.0231494 1.49842e-06 -0.00214333 6.75625e-05 -0.00956992 -0.000128433 -0.000860303 2.46614e-07 0.306848 -4.39117e-05 0.486929 6.0524e-06 0 -6.0524e-06 0.000464356 0 -0.000464356 0.306858 -4.70245e-05 0.486917 9.92608e-06 -3.11281e-06 -1.17502e-05 -1.85986e-05 2.07384e-05 3.98663e-06 -0.000997854 -0.00112876 0.000578268 3.1413 4.31316e-05 0.000198024 3.14134 8.4607e-05 0.000206008 0.12311 0.0650504 -0.0272586 -0.0113763 -0.023048 -8.07915e-06 
0.99999 -0.000197485 4.48163e-05 0 -0.000197499 -0.99999 0.000298874 0 4.47577e-05 -0.000298886 -1 0 0.306858 -4.48461e-05 0.486917 1 0.0952387 -0.00855625 0.00685715 0.00165886 0.0191766 -1.46293e-05 -0.000270271 8.51687e-06 -0.00120675 -1.61956e-05 -0.000108483 3.16811e-08 0.306848 -4.39117e-05 0.486929 6.52562e-06 0 -6.52562e-06 0.00048207 0 -0.00048207 0.306858 -4.48461e-05 0.486917 9.72385e-06 -9.34384e-07 -1.2215e-05 -2.14093e-05 1.99252e-05 4.24831e-06 -0.000731142 4.11878e-06 6.74831e-05 3.14129 4.47581e-05 0.000197501 3.14134 8.4607e-05 0.000206008 0.0947979 -0.00870367 0.00678086 0.00168533 -0.0190797 9.7269e-06 
0.99999 -0.00020039 4.08006e-05 0 -0.000200402 -0.99999 0.000296007 0 4.07417e-05 -0.000296018 -1 0 0.306858 -4.6841e-05 0.486917 1 0.0742311 0.0453306 -0.023436 -0.00812349 0.0135873 4.58774e-05 -0.00170578 5.37631e-05 -0.00761624 -0.000102216 -0.000684672 1.98391e-07 0.306848 -4.39117e-05 0.486929 7.01654e-06 0 -7.01654e-06 0.000499774 0 -0.000499774 0.306858 -4.6841e-05 0.486917 9.15351e-06 -2.9293e-06 -1.18019e-05 -1.99751e-05 2.19328e-05 2.79612e-06 -0.000604095 -0.000676699 0.000458016 3.1413 4.07421e-05 0.000200404 3.14134 8.4607e-05 0.000206008 0.0737445 0.0451942 -0.0235224 -0.00809936 -0.0134801 -4.95263e-05 
0.99999 -0.00018774 3.64632e-05 0 -0.00018775 -0.99999 0.000298037 0 3.64076e-05 -0.000298047 -1 0 0.306856 -4.58518e-05 0.486916 1 0.0846144 0.0101848 0.0198303 -0.00154291 0.0173252 -6.25372e-05 0.000575953 -1.81505e-05 0.00257161 3.4513e-05 0.000231176 -6.76018e-08 0.306848 -4.39117e-05 0.486929 7.52516e-06 0 -7.52516e-06 0.000517467 0 -0.000517467 0.306856 -4.58518e-05 0.486916 7.86736e-06 -1.94012e-06 -1.28874e-05 -2.09899e-05 2.41016e-05 9.12124e-06 -0.00072984 -0.000149405 -0.000164802 3.14129 3.64079e-05 0.000187752 3.14134 8.4607e-05 0.000206008 0.0840794 0.0100418 0.0197347 -0.00151761 -0.0172072 5.82511e-05 
