O_T_EE_00 O_T_EE_01 O_T_EE_02 O_T_EE_03 O_T_EE_04 O_T_EE_05 O_T_EE_06 O_T_EE_07 O_T_EE_08 O_T_EE_09 O_T_EE_10 O_T_EE_11 O_T_EE_12 O_T_EE_13 O_T_EE_14 O_T_EE_15 F_FL_x F_FL_y F_FL_z F_FL_rx F_FL_ry F_FL_rz F_CLBF_x F_CLBF_y F_CLBF_z F_CLBF_rx F_CLBF_ry F_CLBF_rz pos_des_x pos_des_y pos_des_z vel_des_x vel_des_y vel_des_z acc_des_x acc_des_y acc_des_z pos_x pos_y pos_z error_x error_y error_z error_rx error_ry error_rz vel_x vel_y vel_z bodyRPY_Y bodyRPY_P bodyRPY_R bodyRPY_des_Y bodyRPY_des_P bodyRPY_des_R F_FL_x F_FL_y F_FL_z F_FL_rx F_FL_ry F_FL_rz
0.99999 -0.00012895 1.93997e-05 0 -0.000128956 -0.99999 0.00030296 0 1.93608e-05 -0.000302965 -1 0 0.306987 -2.06992e-05 0.486863 1 -0.171524 0.0556841 0.0185846 -0.00879966 -0.032065 7.8163e-05 0.00126169 -3.97372e-05 0.00564212 7.56981e-05 0.000506744 -1.51943e-07 0.306987 -1.85442e-05 0.486872 8.98201e-07 0 -8.98201e-07 0.00017946 0 -0.00017946 0.306987 -2.06992e-05 0.486863 -2.79269e-07 -2.15501e-06 -9.30967e-06 -1.67498e-06 6.16703e-06 4.33927e-06 0.00169393 -0.00114348 -0.000345512 3.14129 1.9361e-05 0.000128957 3.14129 3.16927e-05 0.00013764 -0.171662 0.0556741 0.0185576 -0.00879826 0.0320958 -6.83938e-05 
0.99999 -0.000128847 1.20291e-05 0 -0.00012885 -0.99999 0.000303014 0 1.19902e-05 -0.000303018 -1 0 0.306987 -2.28677e-05 0.486861 1 -0.219974 0.101471 0.0308179 -0.0165834 -0.0412869 8.33225e-05 0.00218904 -6.89539e-05 0.00978927 0.000131343 0.000879197 -2.64619e-07 0.306987 -1.85442e-05 0.486872 1.08661e-06 0 -1.08661e-06 0.000197347 0 -0.000197347 0.306987 -2.28677e-05 0.486861 -4.52546e-07 -4.32346e-06 -1.06675e-05 -1.70137e-06 9.85232e-06 4.39103e-06 0.00202281 -0.00175884 -0.000598905 3.14129 1.19903e-05 0.000128852 3.14129 3.16927e-05 0.00013764 -0.220196 0.101462 0.0307741 -0.0165825 0.0413363 -7.07458e-05 
0.99999 -0.000133598 1.25815e-05 0 -0.000133602 -0.99999 0.000306398 0 1.25406e-05 -0.000306403 -1 0 0.306987 -2.32357e-05 0.486861 1 -0.123132 0.0784148 0.00452427 -0.0129701 -0.0233056 7.70714e-05 0.000349201 -1.10002e-05 0.00156162 2.09535e-05 0.000140252 -4.26758e-08 0.306987 -1.85442e-05 0.486872 1.29289e-06 0 -1.29289e-06 0.000215223 0 -0.000215223 0.306987 -2.32357e-05 0.486861 -3.54969e-07 -4.69149e-06 -1.09486e-05 -3.39365e-06 9.57639e-06 2.01542e-06 0.00126418 -0.00142651 -9.69456e-05 3.14129 1.25408e-05 0.000133603 3.14129 3.16927e-05 0.00013764 -0.123347 0.0783936 0.00448295 -0.012967 0.0233533 -6.98679e-05 
0.99999 -0.00013966 8.17842e-06 0 -0.000139662 -0.99999 0.000307846 0 8.1355e-06 -0.00030785 -1 0 0.306987 -2.24509e-05 0.486861 1 -0.112011 0.0552601 -0.00472503 -0.00890036 -0.0219081 2.31757e-05 -7.67625e-05 2.41775e-06 -0.000343282 -4.60606e-06 -3.08306e-05 9.44565e-09 0.306987 -1.85442e-05 0.486872 1.51705e-06 0 -1.51705e-06 0.000233088 0 -0.000233088 0.306987 -2.24509e-05 0.486861 -1.66436e-07 -3.90672e-06 -1.1189e-05 -4.11734e-06 1.1778e-05 -1.01545e-06 0.000953832 -0.00130321 2.05454e-05 3.14128 8.13558e-06 0.000139664 3.14129 3.16927e-05 0.00013764 -0.112275 0.0552345 -0.00477588 -0.00889659 0.0219667 -1.63313e-05 
0.99999 -0.000140972 5.66133e-06 0 -0.000140973 -0.99999 0.000307075 0 5.61809e-06 -0.000307078 -1 0 0.306988 -2.33214e-05 0.48686 1 -0.115316 0.0547824 0.007902 -0.00888201 -0.0223161 2.56684e-05 0.000716637 -2.25745e-05 0.00320485 4.30023e-05 0.000287827 -8.8067e-08 0.306987 -1.85442e-05 0.486872 1.75906e-06 0 -1.75906e-06 0.000250943 0 -0.000250943 0.306988 -2.33214e-05 0.48686 3.25879e-07 -4.77715e-06 -1.2062e-05 -3.73125e-06 1.30365e-05 -1.67141e-06 0.000881523 -0.00114049 -0.000197662 3.14129 5.61815e-06 0.000140975 3.14129 3.16927e-05 0.00013764 -0.115609 0.05476 0.00784515 -0.008879 0.0223811 -1.87073e-05 
0.99999 -0.000133866 1.78296e-06 0 -0.000133866 -0.99999 0.000303393 0 1.74236e-06 -0.000303396 -1 0 0.306988 -2.17515e-05 0.486858 1 -0.0796323 0.0123125 0.0320373 -0.00155778 -0.0142869 -1.27917e-05 0.00184599 -5.81495e-05 0.00825554 0.000110766 0.000741416 -2.24547e-07 0.306987 -1.85442e-05 0.486872 2.01893e-06 0 -2.01893e-06 0.000268786 0 -0.000268786 0.306988 -2.17515e-05 0.486858 5.41979e-07 -3.20732e-06 -1.39667e-05 -1.89025e-06 1.49754e-05 1.88153e-06 0.000628145 -0.000281862 -0.000506252 3.14129 1.74238e-06 0.000133868 3.14129 3.16927e-05 0.00013764 -0.0799692 0.012304 0.0319704 -0.00155755 0.014362 1.73704e-05 
0.99999 -0.000146283 2.8496e-06 0 -0.000146284 -0.99999 0.00030344 0 2.80524e-06 -0.000303443 -1 0 0.306989 -2.39816e-05 0.486859 1 -0.110042 0.0316549 -0.0239207 -0.00563516 -0.022768 7.79287e-05 -0.000920734 2.9007e-05 -0.00411765 -5.52484e-05 -0.000369801 1.11958e-07 0.306987 -1.85442e-05 0.486872 2.29663e-06 0 -2.29663e-06 0.000286619 0 -0.000286619 0.306989 -2.39816e-05 0.486859 1.58669e-06 -5.43734e-06 -1.25075e-05 -1.9137e-06 1.44421e-05 -4.32698e-06 0.000793607 -0.000528854 0.000249204 3.14129 2.80526e-06 0.000146285 3.14129 3.16927e-05 0.00013764 -0.110366 0.031646 -0.0239852 -0.00563494 0.0228404 -7.09777e-05 
0.99999 -0.000138898 2.16526e-06 0 -0.000138899 -0.99999 0.00030657 0 2.1227e-06 -0.000306573 -1 0 0.306987 -2.23488e-05 0.486859 1 0.021789 -0.00770909 0.0210279 0.00166261 0.00538117 -1.12654e-05 0.000777974 -2.45026e-05 0.00347917 4.66811e-05 0.000312461 -9.56072e-08 0.306987 -1.85442e-05 0.486872 2.59216e-06 0 -2.59216e-06 0.000304441 0 -0.000304441 0.306987 -2.23488e-05 0.486859 -1.08429e-07 -3.80453e-06 -1.28066e-05 -3.47875e-06 1.47845e-05 -6.34828e-07 -8.7223e-05 6.56872e-05 -0.000215255 3.14129 2.12272e-06 0.0001389 3.14129 3.16927e-05 0.00013764 0.021457 -0.0077291 0.0209629 0.00166502 -0.00530732 9.8211e-06 
0.99999 -0.000131452 4.08338e-06 0 -0.000131453 -0.99999 0.000305239 0 4.0433e-06 -0.000305243 -1 0 0.306988 -2.34702e-05 0.486859 1 0.0518918 0.0234812 0.0255845 -0.003616 0.0115516 -5.13985e-05 0.000862427 -2.71677e-05 0.00385687 5.17498e-05 0.000346382 -1.05428e-07 0.306987 -1.85442e-05 0.486872 2.90551e-06 0 -2.90551e-06 0.000322252 0 -0.000322252 0.306988 -2.34702e-05 0.486859 2.40169e-07 -4.92597e-06 -1.32111e-05 -2.81361e-06 1.38253e-05 3.08851e-06 -0.000270793 -0.000393559 -0.000238627 3.14129 4.04333e-06 0.000131454 3.14129 3.16927e-05 0.00013764 0.0515813 0.0234657 0.0255234 -0.00361428 -0.0114825 4.8147e-05 
0.99999 -0.000141761 1.58048e-06 0 -0.000141762 -0.99999 0.000303703 0 1.53744e-06 -0.000303706 -1 0 0.306989 -2.58858e-05 0.486857 1 -0.0444519 0.070068 0.0411363 -0.0114852 -0.00722465 3.80858e-05 0.00227288 -7.16187e-05 0.0101648 0.000136392 0.000912878 -2.76787e-07 0.306987 -1.85442e-05 0.486872 3.23667e-06 0 -3.23667e-06 0.000340053 0 -0.000340053 0.306989 -2.58858e-05 0.486857 1.88847e-06 -7.34158e-06 -1.46614e-05 -2.04505e-06 1.50767e-05 -2.06615e-06 0.000275446 -0.00110489 -0.000624038 3.14129 1.53746e-06 0.000141763 3.14129 3.16927e-05 0.00013764 -0.0447911 0.0700584 0.041069 -0.0114848 0.0073002 -3.57752e-05 
