O_T_EE_00 O_T_EE_01 O_T_EE_02 O_T_EE_03 O_T_EE_04 O_T_EE_05 O_T_EE_06 O_T_EE_07 O_T_EE_08 O_T_EE_09 O_T_EE_10 O_T_EE_11 O_T_EE_12 O_T_EE_13 O_T_EE_14 O_T_EE_15 F_FL_x F_FL_y F_FL_z F_FL_rx F_FL_ry F_FL_rz F_CLBF_x F_CLBF_y F_CLBF_z F_CLBF_rx F_CLBF_ry F_CLBF_rz pos_des_x pos_des_y pos_des_z vel_des_x vel_des_y vel_des_z acc_des_x acc_des_y acc_des_z pos_x pos_y pos_z error_x error_y error_z error_rx error_ry error_rz vel_x vel_y vel_z bodyRPY_Y bodyRPY_P bodyRPY_R bodyRPY_des_Y bodyRPY_des_P bodyRPY_des_R F_FL_ana_x F_FL_ana_y F_FL_ana_z F_FL_ana_rx F_FL_ana_ry F_FL_ana_rz
0.99999 -7.29493e-05 -7.27977e-05 0 -7.29266e-05 -0.99999 0.000311638 0 -7.28212e-05 -0.000311636 -1 0 0.306987 -1.58418e-05 0.486839 1 0.0281084 -0.0240413 -0.0351461 0.0038952 0.00461243 -2.58022e-05 -0.0023323 7.33713e-05 -0.0104327 -0.000139955 -0.00093671 3.01676e-07 0.306984 -1.41036e-05 0.486848 3.95235e-06 0 -3.95235e-06 0.000375622 0 -0.000375622 0.306987 -1.58418e-05 0.486839 3.84451e-06 -1.7382e-06 -9.28119e-06 -9.33243e-06 5.40024e-06 3.66547e-06 -1.32284e-05 0.000283626 0.000633161 3.14128 -7.28219e-05 7.29274e-05 3.1413 -6.20234e-05 8.02616e-05 0.0279904 -0.0241067 -0.0351644 0.00390731 -0.00458673 2.44302e-05 
0.99999 -7.24102e-05 -8.00166e-05 0 -7.23851e-05 -0.99999 0.000313103 0 -8.004e-05 -0.0003131 -1 0 0.306988 -1.663e-05 0.486835 1 -0.00506844 -0.0134774 0.0468049 0.00291411 0.00106954 -2.77637e-05 0.00230384 -7.24738e-05 0.0103059 0.000138254 0.000925284 -3.00333e-07 0.306984 -1.41036e-05 0.486848 4.33685e-06 0 -4.33685e-06 0.00039339 0 -0.00039339 0.306988 -1.663e-05 0.486835 4.17762e-06 -2.52636e-06 -1.33752e-05 -1.00646e-05 9.00973e-06 3.93515e-06 7.1275e-05 0.000192535 -0.000633745 3.14128 -8.00408e-05 7.23858e-05 3.1413 -6.20234e-05 8.02616e-05 -0.00526756 -0.0135468 0.0467708 0.00292665 -0.00102579 2.76042e-05 
0.99999 -6.30235e-05 -8.11495e-05 0 -6.29975e-05 -0.99999 0.000319691 0 -8.11704e-05 -0.000319689 -1 0 0.306988 -1.52195e-05 0.486836 1 0.0075881 -0.0510161 0.0129125 0.00907196 0.00209874 -0.000103123 0.000446332 -1.40373e-05 0.00199659 2.67858e-05 0.000179258 -5.93944e-08 0.306984 -1.41036e-05 0.486848 4.73912e-06 0 -4.73912e-06 0.000411148 0 -0.000411148 0.306988 -1.52195e-05 0.486836 4.46226e-06 -1.11592e-06 -1.23973e-05 -1.33587e-05 9.57637e-06 8.62876e-06 -6.93202e-05 0.000683359 -0.000126965 3.14127 -8.11712e-05 6.29981e-05 3.1413 -6.20234e-05 8.02616e-05 0.00737758 -0.0511091 0.012878 0.00908906 -0.00205265 0.000102335 
0.99999 -6.86663e-05 -8.23608e-05 0 -6.86398e-05 -0.99999 0.000321887 0 -8.23836e-05 -0.000321884 -1 0 0.306989 -1.71969e-05 0.486835 1 -0.0862982 0.0186598 0.0659781 -0.00233466 -0.0150788 -4.54799e-05 0.00402065 -0.000126456 0.0179859 0.000241305 0.0016148 -5.38869e-07 0.306984 -1.41036e-05 0.486848 5.15915e-06 0 -5.15915e-06 0.000428895 0 -0.000428895 0.306989 -1.71969e-05 0.486835 5.21379e-06 -3.09324e-06 -1.29231e-05 -1.44564e-05 1.01821e-05 5.80742e-06 0.000276677 -0.000409613 -0.00110341 3.14127 -8.23844e-05 6.86404e-05 3.1413 -6.20234e-05 8.02616e-05 -0.086522 0.0185592 0.0659416 -0.0023162 0.0151278 5.10891e-05 
0.99999 -6.3347e-05 -8.56449e-05 0 -6.33193e-05 -0.99999 0.000322916 0 -8.56661e-05 -0.000322914 -1 0 0.306989 -1.76169e-05 0.486834 1 -0.0883204 0.0294438 0.0654117 -0.00430294 -0.0155872 -4.33607e-05 0.00402813 -0.000126687 0.0180196 0.000241759 0.00161781 -5.42317e-07 0.306984 -1.41036e-05 0.486848 5.59691e-06 0 -5.59691e-06 0.000446631 0 -0.000446631 0.306989 -1.76169e-05 0.486834 5.76759e-06 -3.51324e-06 -1.38967e-05 -1.49708e-05 1.18242e-05 8.46716e-06 0.000276697 -0.000477824 -0.00110592 3.14127 -8.5667e-05 6.33199e-05 3.1413 -6.20234e-05 8.02616e-05 -0.0885809 0.02934 0.065368 -0.00428398 0.0156443 4.94316e-05 
0.99999 -6.4791e-05 -8.01485e-05 0 -6.4765e-05 -0.99999 0.000323925 0 -8.01702e-05 -0.000323923 -1 0 0.306989 -1.69653e-05 0.486836 1 -0.0215419 -0.00506967 0.0132588 0.00103291 -0.00381187 -3.3083e-05 0.000676862 -2.12869e-05 0.00302787 4.06235e-05 0.000271847 -9.11823e-08 0.306984 -1.41036e-05 0.486848 6.0524e-06 0 -6.0524e-06 0.000464356 0 -0.000464356 0.306989 -1.69653e-05 0.486836 5.88537e-06 -2.86173e-06 -1.27659e-05 -1.54754e-05 9.07602e-06 7.74512e-06 0.000101875 9.34372e-05 -0.000191184 3.14127 -8.0171e-05 6.47657e-05 3.1413 -6.20234e-05 8.02616e-05 -0.0217403 -0.00517805 0.013228 0.001053 0.00385512 3.48644e-05 
0.99999 -7.68116e-05 -8.68709e-05 0 -7.67831e-05 -0.99999 0.000328563 0 -8.6897e-05 -0.00032856 -1 0 0.30699 -1.88187e-05 0.486834 1 -0.0444134 0.0156468 0.0305304 -0.00233396 -0.00784548 3.12901e-05 0.00177203 -5.57294e-05 0.0079272 0.000106363 0.000711698 -2.42718e-07 0.306984 -1.41036e-05 0.486848 6.52562e-06 0 -6.52562e-06 0.00048207 0 -0.00048207 0.30699 -1.88187e-05 0.486834 6.55752e-06 -4.71509e-06 -1.46032e-05 -1.77943e-05 1.24375e-05 1.73501e-06 0.000155957 -0.000267653 -0.000490738 3.14126 -8.68978e-05 7.67838e-05 3.1413 -6.20234e-05 8.02616e-05 -0.0446868 0.0155229 0.0304859 -0.00231133 0.00790524 -2.79776e-05 
0.99999 -6.8159e-05 -8.17187e-05 0 -6.81318e-05 -0.99999 0.000331947 0 -8.17421e-05 -0.000331944 -1 0 0.306992 -1.87975e-05 0.486835 1 -0.0618101 -0.00685691 -0.0128673 0.0010077 -0.0128392 6.45447e-06 -0.000545883 1.71657e-05 -0.00244202 -3.27665e-05 -0.000219245 7.53466e-08 0.306984 -1.41036e-05 0.486848 7.01654e-06 0 -7.01654e-06 0.000499774 0 -0.000499774 0.306992 -1.87975e-05 0.486835 8.53281e-06 -4.69387e-06 -1.37489e-05 -1.94864e-05 9.86144e-06 6.06144e-06 0.000397563 0.000147746 0.000142281 3.14126 -8.17429e-05 6.81325e-05 3.1413 -6.20234e-05 8.02616e-05 -0.0620247 -0.00699393 -0.012899 0.00103317 0.0128858 -1.60769e-06 
0.99999 -6.94301e-05 -8.44274e-05 0 -6.9402e-05 -0.99999 0.000332397 0 -8.44512e-05 -0.000332395 -1 0 0.306993 -1.82502e-05 0.486833 1 -0.0472477 -0.00713731 0.0197957 0.00140793 -0.00855039 1.44493e-05 0.00109244 -3.43504e-05 0.00488719 6.55746e-05 0.000438763 -1.51159e-07 0.306984 -1.41036e-05 0.486848 7.52516e-06 0 -7.52516e-06 0.000517467 0 -0.000517467 0.306993 -1.82502e-05 0.486833 9.32756e-06 -4.14658e-06 -1.57355e-05 -1.97116e-05 1.12158e-05 5.4259e-06 0.00030944 0.000168595 -0.000306197 3.14126 -8.44521e-05 6.94027e-05 3.1413 -6.20234e-05 8.02616e-05 -0.0474928 -0.00727549 0.019758 0.00143348 0.00860371 -1.10593e-05 
0.99999 -7.25447e-05 -8.45167e-05 0 -7.2517e-05 -0.99999 0.000328165 0 -8.45413e-05 -0.000328162 -1 0 0.306994 -1.8989e-05 0.486833 1 -0.0481113 0.00706506 -0.0162927 -0.00157397 -0.010216 6.38347e-05 -0.000814485 2.56156e-05 -0.00364373 -4.88892e-05 -0.000327126 1.1132e-07 0.306984 -1.41036e-05 0.486848 8.05147e-06 0 -8.05147e-06 0.00053515 0 -0.00053515 0.306994 -1.8989e-05 0.486833 1.02486e-05 -4.88534e-06 -1.5374e-05 -1.75955e-05 1.12603e-05 3.86843e-06 0.000335089 4.62072e-05 0.000214584 3.14126 -8.45421e-05 7.25177e-05 3.1413 -6.20234e-05 8.02616e-05 -0.0483582 0.00694214 -0.016332 -0.00155138 0.0102699 -5.977e-05 
