O_T_EE_00 O_T_EE_01 O_T_EE_02 O_T_EE_03 O_T_EE_04 O_T_EE_05 O_T_EE_06 O_T_EE_07 O_T_EE_08 O_T_EE_09 O_T_EE_10 O_T_EE_11 O_T_EE_12 O_T_EE_13 O_T_EE_14 O_T_EE_15 F_FL_ana_x F_FL_ana_y F_FL_ana_z F_FL_ana_rx F_FL_ana_ry F_FL_ana_rz pos_des_x pos_des_y pos_des_z vel_des_x vel_des_y vel_des_z pos_x pos_y pos_z bodyRPY_des_R bodyRPY_des_P bodyRPY_des_Y bodyRPY_R bodyRPY_P bodyRPY_Y error_ana_x error_ana_y error_ana_z error_ana_rx error_ana_ry error_ana_rz 
0.99999 -0.000150035 1.37839e-05 0 -0.000115836 -0.707092 0.707108 0 -9.63462e-05 -0.707114 -0.707099 0 0.30697 -0.148864 0.548482 1 0.0166725 0.00976608 -0.0186553 -0.00320137 -0.00330115 0.000108825 0.306969 -0.148861 0.548497 5.98801e-07 0 0 0.30697 -0.148864 0.548482 2.3562 -7.09976e-05 0.000162176 2.35618 -9.63471e-05 0.000115838 4.75946e-07 -2.61997e-06 -1.56231e-05 -1.2303e-05 -2.53495e-05 -4.63389e-05 
0.99999 -0.000159585 1.89707e-05 0 -0.000126256 -0.707088 0.707112 0 -9.94322e-05 -0.707118 -0.707095 0 0.30697 -0.148865 0.548481 1 0.0438727 0.0143565 0.024556 0.00185045 -0.0095874 1.78066e-05 0.306969 -0.148861 0.548497 7.24404e-07 0 0 0.30697 -0.148865 0.548481 2.3562 -7.09976e-05 0.000162176 2.35618 -9.94332e-05 0.000126257 2.69751e-07 -3.66962e-06 -1.58892e-05 -1.78092e-05 -2.84355e-05 -3.5919e-05 
0.99999 -0.0001634 1.80468e-05 0 -0.000128301 -0.707092 0.707108 0 -0.000102783 -0.707115 -0.707099 0 0.30697 -0.148866 0.548481 1 0.0310868 0.0201565 -0.00257788 -0.00278875 -0.00611164 -4.51205e-05 0.306969 -0.148861 0.548497 8.61928e-07 0 0 0.30697 -0.148866 0.548481 2.3562 -7.09976e-05 0.000162176 2.35618 -0.000102784 0.000128303 4.31299e-07 -4.62281e-06 -1.61434e-05 -1.24633e-05 -3.17862e-05 -3.38738e-05 
0.99999 -0.000157724 1.58488e-05 0 -0.000122734 -0.707094 0.707106 0 -0.000100323 -0.707113 -0.707101 0 0.306972 -0.148863 0.548479 1 -0.188215 -0.0208041 0.0644435 0.0107597 0.0363151 0.000266769 0.306969 -0.148861 0.548497 1.01137e-06 0 0 0.306972 -0.148863 0.548479 2.3562 -7.09976e-05 0.000162176 2.35619 -0.000100324 0.000122735 2.42556e-06 -2.21933e-06 -1.83782e-05 -1.01264e-05 -2.93264e-05 -3.94414e-05 
0.99999 -0.000156225 5.11916e-06 0 -0.000114086 -0.707092 0.707108 0 -0.00010685 -0.707114 -0.707099 0 0.306971 -0.148863 0.548476 1 -0.101091 -0.0324173 0.0928003 0.0157192 0.0193168 0.000314485 0.306969 -0.148861 0.548497 1.17271e-06 0 0 0.306971 -0.148863 0.548476 2.3562 -7.09976e-05 0.000162176 2.35618 -0.000106851 0.000114087 1.66746e-06 -1.56914e-06 -2.18402e-05 -1.20471e-05 -3.58533e-05 -4.80891e-05 
0.99999 -0.000161034 9.11182e-06 0 -0.00012031 -0.707094 0.707106 0 -0.000107427 -0.707113 -0.707101 0 0.306971 -0.148864 0.548476 1 -0.0328578 0.00319645 0.028526 0.00358908 0.00610102 0.000122343 0.306969 -0.148861 0.548497 1.34595e-06 0 0 0.306971 -0.148864 0.548476 2.3562 -7.09976e-05 0.000162176 2.35619 -0.000107428 0.000120312 1.54041e-06 -3.03754e-06 -2.1277e-05 -9.72402e-06 -3.64308e-05 -4.18647e-05 
0.99999 -0.00016613 1.18069e-05 0 -0.00012582 -0.707097 0.707102 0 -0.000109125 -0.707109 -0.707104 0 0.306971 -0.148864 0.548477 1 -0.0253029 0.0178443 -0.00206364 -0.00246575 0.00545098 -2.9274e-05 0.306969 -0.148861 0.548497 1.53109e-06 0 0 0.306971 -0.148864 0.548477 2.3562 -7.09976e-05 0.000162176 2.35619 -0.000109126 0.000125821 1.92989e-06 -2.87257e-06 -2.08154e-05 -4.92898e-06 -3.8128e-05 -3.6355e-05 
0.99999 -0.00016121 3.11846e-06 0 -0.000116198 -0.707097 0.707103 0 -0.000111789 -0.70711 -0.707104 0 0.306971 -0.148866 0.548475 1 -0.0285439 0.0227047 0.0284455 0.00101336 0.00481341 0.000144544 0.306969 -0.148861 0.548497 1.72811e-06 0 0 0.306971 -0.148866 0.548475 2.3562 -7.09976e-05 0.000162176 2.35619 -0.00011179 0.000116199 1.92263e-06 -4.85246e-06 -2.19937e-05 -5.37461e-06 -4.07928e-05 -4.59777e-05 
0.99999 -0.000159963 1.52875e-06 0 -0.000114192 -0.707101 0.707099 0 -0.000112031 -0.707106 -0.707108 0 0.30697 -0.148866 0.548475 1 0.0673163 0.0159427 0.000559169 -0.00148156 -0.0134624 0.000108206 0.306969 -0.148861 0.548497 1.93701e-06 0 0 0.30697 -0.148866 0.548475 2.3562 -7.09976e-05 0.000162176 2.3562 -0.000112032 0.000114193 8.18883e-07 -5.06898e-06 -2.19285e-05 -1.37977e-07 -4.10341e-05 -4.79835e-05 
0.99999 -0.000160646 -1.08153e-06 0 -0.000112829 -0.7071 0.707099 0 -0.00011436 -0.707106 -0.707107 0 0.306972 -0.148865 0.548471 1 -0.0593937 -0.0159071 0.0710288 0.0108257 0.0102985 0.000102767 0.306969 -0.148861 0.548497 2.15778e-06 0 0 0.306972 -0.148865 0.548471 2.3562 -7.09976e-05 0.000162176 2.3562 -0.000114361 0.00011283 2.98171e-06 -3.84637e-06 -2.59089e-05 -6.99167e-07 -4.3363e-05 -4.93462e-05 
